원칙,설명,예시,적용 방법
'100 - 나이' 원칙,"나이만큼 안전한 저축에 투자하고, 나머지는 위험 자산에 투자하는 방법","30세: 저축 30%, 투자 70%",나이를 기준으로 저축과 투자 비율 결정
저축 자산 분배,저축 자산을 기간에 따라 분배,"초단기 비상금 통장 50%, 1~3년 만기 적금 50%",저축 금액을 사용 목적과 기간에 따라 분배
투자 자산 분배,투자 자산을 투자 기간에 따라 분배,"중기 목표 투자 50%, 장기 목표 투자 50%",투자 금액을 목표 기간에 따라 분배
비상금 마련,예상치 못한 지출을 대비하여 생활비의 3~5배 비상금 확보,월 생활비 100만원인 경우 비상금 300~500만원 준비,저축과 투자 전에 비상금부터 확보
자기계발 투자,수입의 10~20%를 자기계발에 투자,월급의 15%를 교육 및 독서에 사용,저축과 투자 외에 자기계발을 위한 예산 책정
투자 시작 시기,투자는 빠를수록 좋지만 준비된 후 시작,사회초년생 때 작은 금액으로 투자 시작,작은 금액으로 투자 경험 쌓기
위험자산과 현금 비율,"평상시 투자금 60%, 현금 40% 비율 유지",기회가 오면 투자 비율을 80%까지 확대,시장 상황에 따라 자산 비율 조정
빚을 내서 투자하지 않기,투자는 여유 자금으로만 진행,보너스나 남는 돈으로 소액 투자 시작,고정 수입 외의 자금으로 투자
저축과 투자 병행,종자돈 마련과 소액 투자를 동시에 진행,"월급의 50% 저축, 남은 돈으로 투자",저축과 투자를 균형 있게 수행
목표 수익률 설정,현실적인 수익률 목표를 설정,연 7% 수익률을 목표로 자산 배분,무리한 수익률보다 현실적인 목표 설정
